,a,b,c,d,e,f,g
0,10.199487805895586,-75.8493490412183,-1109.3360386279805,-4.435155186489753,-397.37738173173494,-1.7792547421911524,-72.20864836939512
1,41.29379406460148,16.174653575526257,191.72254841962285,281.1983123302233,-19.78992365962752,10.369008570632355,-78.17416401329149
2,-267.2693585194992,-815.6643883201383,75.18143568542149,59.97725953410879,12.864716584873896,2.471004196703124,-135.59919015897395
3,-161.60262639271423,-594.841540117485,-597.6109079705584,125.57464811587481,339.98385141324167,-8.662503794659656,3.4865299274379495
4,22.432224363231384,-65.3880469892677,-1665.9280842414441,-70.84891141430924,316.5248316298918,96.43818383502543,-558.7831219058958
5,0.3852385492064173,4.8775212395654135,93.08468857097401,561.6934426393962,-7.405610210256405,133.8090247416543,0.020552616009006607
6,52.605770570021605,-95.62911717733017,171.98361052958242,-7.674823415978189,14.134153829288895,36.57550378800207,-1.6509486577374763
7,12.744315547471828,-81.7374533934566,-893.5080182032962,8.793737656984215,169.57941109018697,1.7824919196725268,5.349754238789631
8,110.02195933995378,-1.1898254971940103,281.2897879006435,60.69927231341191,-17.336926622367823,33.87015984941153,23.18941325528677
9,-17.873301125428288,-624.4150059155085,374.933011034539,-31.49532076512188,18.191842810113197,34.30142299536544,-397.4334493917291
10,178.90234028412138,4.539756378098961,257.9380917008473,96.84874425231727,41.646889273640596,576.1840412099626,16.015789264116037
11,127.81044648212136,11.078072934416873,37.45164170996883,19.3774703192668,32.18632326186288,48.48450102023094,151.37625027460692
12,21.48181544393883,-313.2089691023904,29.08878914470739,137.4292135430842,8.281367987703057,139.27587095021323,169.59076236934203
13,6.5442860107477365,-91.38197144822769,67.60354041527167,433.8614837732521,-25.53242133008417,53.83462105181037,231.85166627891454
14,208.8769200923926,-52.541241868661146,231.50031876327944,91.08553038482707,246.01245771796425,99.80250240713,-26.115242331297413
15,109.41960165818088,-11.691986802890334,94.31893850363174,-116.38075546508574,4.429180233806159,418.7219777281183,30.0071435886761
16,-71.27267655606407,-83.8752351635006,103.68803680351189,29.71327383950383,646.6761335399009,218.803662968282,154.0702549933472
17,328.61468910910236,-107.00907278098856,347.8624034990635,25.44319249171645,302.52076026502255,170.320846932949,0.3492785376655989
18,9.052674552646039,-174.60472769846947,412.7564398439941,984.2151122278885,194.21415942077437,35.389416480973075,0.0682835896833784
19,82.67952788965835,-26.100826821087708,53.56364326751135,16.941019202110155,63.70708110764207,122.92760478300835,-61.215792897429026
20,-12.430415662485103,-208.29635607246433,-142.10843235976483,180.344019406759,18.12498328212993,6.660685202562757,2.2006062985328185
21,-60.31947150454471,-293.11931448698493,226.59879112750315,78.34599174694796,-6.775008856433402,-291.6896732445939,9.741720791038476
22,-371.6926838711357,-307.05634481761336,705.3888848067495,-27.033325335178198,900.0730091227558,20.003655691621447,-287.3469868870577
23,-12.239546044823845,-147.15821114666204,662.4265235902132,3.5281633893119944,-23.895332475578442,73.24995068343321,159.80496711757772
24,8.377374766246783,-307.41333826322045,-17.285066679036774,328.356003126013,27.47582857406994,104.47147353991933,-14.889832263818064
25,4.508998208854637,-151.0626965312913,-132.33570751578839,-86.74359040403986,149.23895061206582,54.3806054296953,105.49686965904387
26,0.42684564634015276,2.1662327659070666,363.3129462143271,16.51428232408491,77.93686048184213,154.0785741875151,125.24555782318669
27,-37.73249773355738,-230.64566830669048,211.9332633633466,69.9283025448881,89.54817657388001,22.641981543017025,11.049332798689182
28,161.39782071536632,-48.36276036084118,-138.68426936314847,12.791910780871845,432.33315674510413,129.93910380516718,784.2478995785316
